STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
RPTESTB,TS,1,,ACTSUB,Actual Number of Subjects,3,,,,
RPTESTB,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P90Y,,,,
RPTESTB,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P0Y,,,,
RPTESTB,TS,1,PBO,ARMDESC,Arm Description,PLACEBO,,,,
RPTESTB,TS,2,TRT,ARMDESC,Arm Description,TREATMENT,,,,
RPTESTB,TS,1,,FCNTRY,Planned Country of Investigational Sites,UK,,,,
RPTESTB,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,,,
RPTESTB,TS,1,,INDIC,Trial Disease/Condition Indication,Visceral leishmaniasis,,,,
RPTESTB,TS,1,,INTTYPE,Intervention Type,DRUG,,,,
RPTESTB,TS,1,,NARMS,Planned Number of Arms,2,,,,
RPTESTB,TS,1,,NCOHORT,Number of Groups/Cohorts,2,,,,
RPTESTB,TS,1,,PLANSUB,Planned Number of Subjects,3,,,,
RPTESTB,TS,1,,PLNTRDUR,Planned Trial Duration,P2M,,,,
RPTESTB,TS,1,,PTRTDUR,Planned Treatment Duration,P14D,,,,
RPTESTB,TS,1,,RANDOM,Trial is Randomized,Y,,,,
RPTESTB,TS,1,,SEXPOP,Sex of Participants,BOTH,,,,
RPTESTB,TS,1,,STYPE,Study Type,INTERVENTIONAL,,,,
RPTESTB,TS,1,,TBLIND,Trial Blinding Schema,OPEN LABEL,,,,
RPTESTB,TS,1,,TCNTRL,Control Type,DOSE RESPONSE,,,,
RPTESTB,TS,1,,TDIGRP,Diagnosis Group,Visceral leishmaniasis,,,,
RPTESTB,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,,,
RPTESTB,TS,1,,TPHASE,Trial Phase Classification,PHASE III TRIAL,,,,
RPTESTB,TS,1,,TRGFUDUR,Target Follow-Up Duration,P6M,,,,
RPTESTB,TS,1,,TTYPE,Trial Type,EFFICACY,,,,
RPTESTB,TS,2,,TTYPE,Trial Type,SAFETY,,,,
